Item_ID	Sentence	Trace	SentenceParse
1694:68	well, um, i don't have that, i don't have that, experience 0 *-1 to share *t*-2.	object	(TOP (S (INTJ (UH Well)) (, ,) (INTJ (UH um)) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP-UNF (DT that))))) (, ,) (IP (-DFL- \+))) (NP-SBJ-1 (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT that) (RS (-DFL- \])) (, ,) (NN experience)) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB share) (NP (-NONE- *T*-2))))))))) (. .) (-DFL- E_S)))
1875:33	i me-, there was no reason for him to really come into, you know, great stardom or anything.	neither	(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP-UNF (VBP me-))) (, ,)) (NP-SBJ (EX there)) (VP (VBD was) (NP-PRD (NP (DT no) (NN reason)) (SBAR (IN for) (S (NP-SBJ (PRP him)) (VP (TO to) (ADVP (RB really)) (VP (VB come) (PP (IN into) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (JJ great) (NN stardom)) (CC or) (NP (NN anything)))))))))) (. .) (-DFL- E_S)))
1946:52	i mean, i like, you know, things like *-1 to hear, you know, what they call *t*-2 world music. which *t*-3 is, you know, * using all these natural forms of music	adjunct	(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (NP-SBJ-1 (PRP I)) (VP (VBP like) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (RM (-DFL- \[)) (NP (NP (NNS things)) (IP (-DFL- \+)) (RS (-DFL- \])) (SBAR (UH like) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB hear) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP call) (S (NP-SBJ (-NONE- *T*-2)) (NP-PRD (NP (NN world) (NN music)) (. .) (SBAR (WHNP-3 (WDT Which)) (S (NP-SBJ (-NONE- *T*-3)) (VP (VBZ is) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBG using) (NP (NP (PDT all) (DT these) (JJ natural) (NNS forms)) (PP (IN of) (NP (NN music)))))))))))))))))))) (-DFL- E_S)))
2216:41	that's a, a big thing 0 * to think about *t*-1.	adjunct	(TOP (S (NP-SBJ (DT that)) (VP (BES 's) (EDITED (RM (-DFL- \[)) (NP-PRD-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP-PRD (NP (DT a) (RS (-DFL- \])) (JJ big) (NN thing)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB think) (PP (IN about) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))
2254:65	and, uh, * not being a native of texas, but being here eleven years * have a tendency * to, uh, find out the, uh, about the different areas of the co-, of the, of the state by *-2 reading it.	adjunct	(TOP (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (S-ADV (NP-SBJ (-NONE- *)) (VP (VP (RB not) (VBG being) (NP-PRD (NP (DT a) (NN native)) (PP (IN of) (NP (NNP Texas))))) (, ,) (CC but) (VP (VBG being) (ADVP-LOC-PRD (RB here)) (NP-TMP (CD eleven) (NNS years))))) (NP-SBJ-2 (-NONE- *)) (VP (VBP have) (NP (DT a) (NN tendency) (S (NP-SBJ (-NONE- *)) (VP (TO to) (, ,) (INTJ (UH uh)) (, ,) (VP (VB find) (PRT (RP out)) (EDITED (RM (-DFL- \[)) (NP-UNF (IN the)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (PP (IN about) (NP (NP (DT the) (RS (-DFL- \])) (JJ different) (NNS areas)) (EDITED (RM (-DFL- \[)) (PP (IN of) (NP-UNF (DT the) (XX co-))) (, ,) (IP (-DFL- \+))) (EDITED (RM (-DFL- \[)) (PP (IN of) (NP-UNF (DT the))) (, ,) (IP (-DFL- \+))) (PP (IN of) (NP (DT the) (RS (-DFL- \])) (NN state))))) (RS (-DFL- \])) (PP (IN by) (S-NOM (NP-SBJ (-NONE- *-2)) (VP (VBG reading) (NP (PRP it)))))))))) (. .) (-DFL- E_S)))
2271:143	* being an engineer in facilities i do read a lot of, a lot of, uh, building magazines and, and, and plant engineering magazines *ich*-1 and, read up on different ways 0 * to do things *t*-2 and energy management type of magazines	adjunct	(TOP (S (S-ADV (NP-SBJ (-NONE- *)) (VP (VBG being) (NP-PRD (NP (DT an) (NN engineer)) (PP (IN in) (NP (NNS facilities)))))) (NP-SBJ (PRP I)) (VP (VBP do) (VP (VP (VB read) (EDITED (RM (-DFL- \[)) (NP (NP (DT a) (NN lot)) (PP-UNF (IN of))) (, ,) (IP (-DFL- \+))) (NP (NP (DT a) (NN lot)) (PP (IN of) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (, ,) (NP (NP (NN building) (NNS magazines)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC and) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (NP (NN plant) (NN engineering) (NNS magazines)) (NAC (-NONE- *ICH*-1)))))) (CC and) (, ,) (VP (VB read) (PRT (RP up)) (PP (IN on) (NP (NP (JJ different) (NNS ways)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (NNS things)) (ADVP-MNR (-NONE- *T*-2)))))))) (NAC-1 (CC and) (NP (NP (NN energy) (NN management) (NN type)) (PP (IN of) (NP (NNS magazines)))))))) (-DFL- E_S)))
2641:44	i don't know that that would be a good environment 0 * to work in *t*-1.	adjunct	(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN that) (S (NP-SBJ (DT that)) (VP (MD would) (VP (VB be) (NP-PRD (NP (DT a) (JJ good) (NN environment)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB work) (PP-LOC (IN in) (ADVP (-NONE- *T*-1)))))))))))))) (. .) (-DFL- E_S)))
2738:29	that's the way 0 * to do it *t*-1. i mean that's the smart way 0 * to do it *t*-2.	adjunct	(TOP (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (DT That)) (VP (BES 's) (NP-MNR-PRD (NP (DT the) (NN way)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1))))))))) (. .) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean)))) (NP-SBJ (DT that)) (VP (BES 's) (NP-MNR-PRD (NP (DT the) (JJ smart) (NN way)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-2)))))))) (. .) (RS (-DFL- \])) (-DFL- E_S)))
3473:72	i mean it's just that, like the, the sixties music's got a lot 0 * to say *t*-1.	object	(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean)))) (NP-SBJ (PRP it)) (VP (BES 's) (ADVP (RB just)) (SBAR-PRD (IN that) (, ,) (INTJ (UH like)) (S (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (DT the)) (, ,) (IP (-DFL- \+))) (NP-SBJ (DT the) (RS (-DFL- \])) (NNS sixties) (NN music)) (VP (HVS 's) (VP (VBN got) (NP (NP (DT a) (NN lot)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB say) (NP (-NONE- *T*-1)))))))))))) (. .) (-DFL- E_S)))
3570:26	that's a good example 0 * to look for *t*-1 in history.	adjunct	(TOP (S (NP-SBJ (DT that)) (VP (BES 's) (NP-PRD (NP (DT a) (JJ good) (NN example)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB look) (PP (IN for) (NP (-NONE- *T*-1))) (PP-TMP (IN in) (NP (NN history))))))))) (. .) (-DFL- E_S)))
3859:64	an, i think 0 that was better than like showbiz pizza cause there's more 0 for them to do *t*-1.	object	(TOP (S (TYPO (^CC an)) (, ,) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (DT that)) (VP (VBD was) (ADJP-PRD (ADJP (JJR better)) (PP (IN than) (INTJ (UH like)) (NP (NNP Showbiz) (NNP Pizza)))) (SBAR-PRP (IN cause) (S (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (NP (JJR more)) (SBAR (WHNP-1 (-NONE- 0)) (IN for) (S (NP-SBJ (PRP them)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1)))))))))))))) (. .) (-DFL- E_S)))
4040:67	and i, i particularly enjoy, i don't know whether you've had a chance *-1 to watch it on p b s but uh, the series, uh, yes minister?	neither	(TOP (S (CC And) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (ADVP (RB particularly)) (VP (VBP enjoy) (PRN (, ,) (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN whether) (S (NP-SBJ-1 (PRP you)) (VP (VBP 've) (VP (VBN had) (NP (DT a) (NN chance) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB watch) (NP (PRP it)) (PP (IN on) (NP (NNP P) (NNP B) (NNP S)))))))))))))) (CC but)) (INTJ (UH uh)) (, ,) (NP (DT the) (NN series) (, ,) (INTJ (UH uh)) (, ,) (NX-TTL (UH YES) (NN MINISTER)))) (. ?) (-DFL- E_S)))
4484:77	it says 0 ever-, all sorts of factors go into health and 0 there's no reason 0 * to talk about one rather than another *t*-1, so that they, they combined them all together.	adjunct	(TOP (S (NP-SBJ (PRP It)) (VP (VBZ says) (SBAR (SBAR (-NONE- 0) (S (EDITED (RM (-DFL- \[)) (X (XX ever-)) (, ,) (IP (-DFL- \+)) (RS (-DFL- \]))) (NP-SBJ (NP (DT all) (NNS sorts)) (PP (IN of) (NP (NNS factors)))) (VP (VBP go) (PP (IN into) (NP (NN health)))))) (CC and) (SBAR (-NONE- 0) (S (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (NP (DT no) (NN reason)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB talk) (PP (IN about) (NP (NP (NN one)) (CONJP (IN rather) (IN than) (NP (DT another))))) (ADVP (-NONE- *T*-1))))))) (, ,) (SBAR-PRP (IN so) (IN that) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (RS (-DFL- \])) (VP (VBD combined) (NP (PRP them)) (ADVP (DT all) (RB together)))))))))) (. .) (-DFL- E_S)))
4562:19	the rat race 0 *t*-1 to exercise.	neither	(TOP (NP (NP (DT The) (NN rat) (NN race)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *T*-1)) (VP (TO to) (VP (VB exercise))))) (. .) (-DFL- E_S)))
4874:38	i mean, you know, the way 0 * to stop that kind of behavior *t*-1 is, is two-fold.	adjunct	(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (NP-SBJ (NP (DT the) (NN way)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB stop) (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NN behavior)))) (ADVP-MNR (-NONE- *T*-1))))))) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (VP (VBZ is) (RS (-DFL- \])) (NP-PRD (JJ two-fold))) (. .) (-DFL- E_S)))
4920:40	they just think 0 that's the normal thing 0 * to do *t*-1, don't they...	object	(TOP (SQ (S (NP-SBJ (PRP they)) (ADVP (RB just)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (DT that)) (VP (BES 's) (NP-PRD (NP (DT the) (JJ normal) (NN thing)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1)))))))))))) (, ,) (SQ (VBP do) (RB n't) (NP-SBJ (PRP they))) (: ...) (-DFL- E_S)))
5079:27	i've got the kits 0 * to put them all in *t*-1.	adjunct	(TOP (S (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT the) (NNS kits)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB put) (NP (NP (PRP them)) (NP (DT all))) (PP-PUT (IN in) (NP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))
5203:64	i mean it is relaxing 0 * to do *t*-2, once you find the time 0 * to do it *t*-1.	adjunct	(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean)))) (NP-SBJ (PRP it)) (VP (VBZ is) (ADJP-PRD (VBG relaxing) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-2)))))) (, ,) (SBAR-TMP (IN once) (S (NP-SBJ (PRP you)) (VP (VBP find) (NP (NP (DT the) (NN time)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)) (ADVP-TMP (-NONE- *T*-1)))))))))))) (. .) (-DFL- E_S)))
5254:30	now i've got the material 0 * to do an afghan that i just never did get around to * finishing it *t*-2 *t*-3.	adjunct	(TOP (S (ADVP-TMP (RB now)) (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT the) (NN material)) (SBAR (WHADVP-3 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (NP (DT an) (NN afghan)) (SBAR (WHADVP-2 (WDT that)) (S (NP-SBJ (PRP I)) (ADVP (RB just)) (ADVP-TMP (RB never)) (VP (VBD did) (VP (VB get) (PP (RP around) (PP (TO to) (S-NOM (NP-SBJ (-NONE- *)) (VP (VBG finishing) (NP (PRP it)))))) (ADVP (-NONE- *T*-2))))))) (ADVP (-NONE- *T*-3))))))))) (. .) (-DFL- E_S)))
5262:76	lilly, lilly, she said, she said 0 it's for your daughter 0 * to use *t*-1.	object	(TOP (S (EDITED (RM (-DFL- \[)) (NP (NNP Lilly)) (, ,) (IP (-DFL- \+))) (NP-VOC (NNP Lilly)) (RS (-DFL- \])) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP she)) (VP-UNF (VBD said))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP she)) (VP (VBD said) (RS (-DFL- \])) (SBAR (-NONE- 0) (S (NP-SBJ (PRP it)) (VP (BES 's) (PP-PRD (IN for) (NP (NP (PRP$ your) (NN daughter)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB use) (NP (-NONE- *T*-1)))))))))))) (. .) (-DFL- E_S)))
6225:34	i guess 0 now is the time 0 * to think about it *t*-1,	adjunct	(TOP (S (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (RB now)) (VP (VBZ is) (NP-PRD (NP (DT the) (NN time)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB think) (PP (IN about) (NP (PRP it))) (ADVP-TMP (-NONE- *T*-1))))))))))) (, ,) (-DFL- E_S)))
6257:38	so, i have *-1 to find a way 0 * to supplement that *t*-2.	adjunct	(TOP (S (RB So) (, ,) (NP-SBJ-1 (PRP I)) (VP (VBP have) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB find) (NP (NP (DT a) (NN way)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB supplement) (NP (DT that)) (ADVP (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))
6262:40	but i've got money coming out mumblex *ich*-2 0 * to buy savings bonds *t*-1, just coming straight out of my check.	adjunct	(TOP (S (CC but) (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN got) (NP (NP (NN money)) (VP (VP (VBG coming) (ADVP (IN out))) (X (XX MUMBLEx)) (VP (-NONE- *ICH*-2))) (SBAR-PRP (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB buy) (NP (NNS savings) (NNS bonds)) (ADVP (-NONE- *T*-1)))))) (, ,) (VP-2 (ADVP (RB just)) (VBG coming) (PP (ADVP (RB straight)) (IN out) (PP (IN of) (NP (PRP$ my) (NN check)))))))) (. .) (-DFL- E_S)))
6349:74	and, and our answer was, that, you know, we will have enough money *ich*-1 available for him to attend a state college.	neither	(TOP (S (EDITED (RM (-DFL- \[)) (CC And) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (NP-SBJ (PRP$ our) (NN answer)) (VP (VBD was) (, ,) (SBAR-PRD (IN that) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (S (NP-SBJ (PRP we)) (VP (MD will) (VP (VB have) (NP (NP (JJ enough) (NN money) (SBAR (-NONE- *ICH*-1))) (ADJP (JJ available)) (SBAR-1 (IN for) (S (NP-SBJ (PRP him)) (VP (TO to) (VP (VB attend) (NP (DT a) (NN state) (NN college)))))))))))) (. .) (-DFL- E_S)))
6350:57	and if he wants *-1 to go to a private college, he can get a scholarship * to attend, you know.	neither	(TOP (S (CC And) (SBAR-ADV (IN if) (S (NP-SBJ-1 (PRP he)) (VP (VBZ wants) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB go) (PP (IN to) (NP (DT a) (JJ private) (NN college))))))))) (, ,) (NP-SBJ (PRP he)) (VP (MD can) (VP (VB get) (NP (NP (DT a) (NN scholarship)) (S-PRP (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB attend))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- E_S)))
6369:44	* let, me explain to you how you get scholarships * to do that *t*-1.	neither	(TOP (S-IMP (NP-SBJ (-NONE- *)) (VP (VB Let) (, ,) (S (NP-SBJ (PRP me)) (VP (VB explain) (PP (IN to) (NP (PRP you))) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP get) (NP (NP (NNS scholarships)) (S-PRP (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT that)))))) (ADVP-MNR (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))
6384:44	* let me explain to you how you get scholarships, * to do that *t*-1.	neither	(TOP (S-IMP (NP-SBJ (-NONE- *)) (VP (VB Let) (S (NP-SBJ (PRP me)) (VP (VB explain) (PP (IN to) (NP (PRP you))) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP get) (NP (NP (NNS scholarships)) (, ,) (S-PRP (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT that)))))) (ADVP-MNR (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))
6431:40	and they said that t i was looking into it, * to purchase extra vacation days. which i thought 0 *t*-1 sounded like a good idea.	adjunct	(TOP (S (CC and) (NP-SBJ (PRP they)) (VP (VBD said) (SBAR (IN that) (S (NP-SBJ (NNP T) (NNP I)) (VP (VBD was) (VP (VBG looking) (PP (IN into) (NP (NP (PRP it)) (, ,) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VP (VB purchase) (NP (JJ extra) (NN vacation) (NNS days))) (. .) (SBAR (WHNP-1 (WDT Which)) (S (NP-SBJ (PRP I)) (VP (VBD thought) (SBAR (-NONE- 0) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD sounded) (PP (IN like) (NP (DT a) (JJ good) (NN idea))))))))))))))))))) (. .) (-DFL- E_S)))
6600:97	you wonder if * being exposed to that for a while, what percentage of them *t*-1 would actually say, hey, that's not a bad way 0 * to do it *t*-2,	adjunct	(TOP (S (NP-SBJ (PRP You)) (VP (VBP wonder) (SBAR-ADV (IN if) (S (NP-SBJ (-NONE- *)) (VP (VBG being) (ADJP-PRD (JJ exposed) (PP (IN to) (NP (DT that)))) (PP-TMP (IN for) (NP (DT a) (NN while)))))) (, ,) (SBAR (WHNP-1 (WHNP (WP what) (NN percentage)) (PP (IN of) (NP (PRP them)))) (S (NP-SBJ (-NONE- *T*-1)) (VP (MD would) (ADVP (RB actually)) (VP (VB say) (, ,) (S-SEZ (INTJ (UH Hey)) (, ,) (NP-SBJ (DT that)) (VP (BES 's) (RB not) (NP-PRD (NP (DT a) (JJ bad) (NN way)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-2)))))))))))))) (, ,) (-DFL- E_S)))
